### This is the row corrosion data obtained from field exposure experiments.
### The Authors is Yucheng Ji, Ni Li, Zhanming Cheng, Xiaoqian Fu, Min Ao, Menglin Li, Xiaoguang Sun, Thee Chowwanonthapunya, 
### Dawei Zhang, Kui Xiao, Jingli Ren, Poulumi Dey, Xiaoguang Li, Chaofang Dong*
### The corresponding author is Prof. Chaofang Dong (cfdong@ustb.edu.cn)
### The X are Al, Zn, Mg, Cu, Si, Fe, Mn, Cr, Ti, Other, Time, Temperature, Rainfall, pH, Cl,
### The last column is corroison rate 
### -----------------------------Under is the data-------------------------------------- ###

91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	1.00	22.70	2051.50	4.80	0.17	4.49
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	2.00	22.70	2051.50	4.80	0.17	3.66
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	3.00	22.70	2051.50	4.80	0.17	3.11
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	4.00	22.70	2051.50	4.80	0.17	2.97
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	1.00	-0.45	357.00	7.05	0.00	0.03
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	2.00	-0.45	357.00	7.05	0.00	0.03
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	3.00	-0.45	357.00	7.05	0.00	0.06
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	4.00	-0.45	357.00	7.05	0.00	0.05
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	1.00	22.35	856.00	5.45	0.01	0.13
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	2.00	22.35	856.00	5.45	0.01	0.13
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	3.00	22.35	856.00	5.45	0.01	0.13
91.90	0.25	1.50	4.35	0.50	0.50	0.60	0.10	0.15	0.15	4.00	22.35	856.00	5.45	0.01	0.13
96.53	0.25	1.00	0.28	0.60	0.70	0.15	0.20	0.15	0.15	1.00	22.70	2051.50	4.80	0.17	1.47
96.53	0.25	1.00	0.28	0.60	0.70	0.15	0.20	0.15	0.15	2.00	22.70	2051.50	4.80	0.17	0.66
96.53	0.25	1.00	0.28	0.60	0.70	0.15	0.20	0.15	0.15	5.00	22.70	2051.50	4.80	0.17	0.41
96.53	0.25	1.00	0.28	0.60	0.70	0.15	0.20	0.15	0.15	1.00	6.40	432.00	6.55	0.00	0.18
96.53	0.25	1.00	0.28	0.60	0.70	0.15	0.20	0.15	0.15	2.00	6.40	432.00	6.55	0.00	0.01
